step,timestamp,candle_index,direction,reason,event
RANGE_to_SWEEP,2024-06-27T07:15:00,2335,,Sweep @ 2301.01000 idx=2335,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-27T09:00:00,2342,,Sweep @ 2296.56000 idx=2342,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-27T09:15:00,2343,,Displacement | body_ratio=0.791 wick=3.16000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-06-27T10:45:00,2349,,Bullish expansion | close=2302.39000 disp_close=2301.61000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-27T17:15:00,2375,,Sweep @ 2328.13000 idx=2375,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-28T09:00:00,2434,,Sweep @ 2327.24000 idx=2434,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-28T16:15:00,2463,,Sweep @ 2337.54000 idx=2463,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-28T18:15:00,2471,,Sweep @ 2324.35000 idx=2471,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-01T01:00:00,2494,,Sweep @ 2322.90000 idx=2494,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-01T03:30:00,2504,,Sweep @ 2322.60000 idx=2504,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-01T07:45:00,2521,,Sweep @ 2321.89000 idx=2521,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-07-01T09:00:00,2526,,Displacement | body_ratio=0.688 wick=3.69000,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-01T09:30:00,2528,,Sweep @ 2329.04000 idx=2528,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-01T12:00:00,2538,,Sweep @ 2329.24000 idx=2538,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-01T15:30:00,2552,,Sweep @ 2335.20000 idx=2552,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-07-01T16:45:00,2557,,Displacement | body_ratio=0.686 wick=8.11000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-07-01T17:15:00,2559,,Bearish expansion | close=2323.81000 disp_close=2327.24000,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-05T01:30:00,2854,,Sweep @ 2354.28000 idx=2854,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-07-05T01:45:00,2855,,Displacement | body_ratio=0.930 wick=1.57000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-07-05T03:30:00,2862,,Bullish expansion | close=2358.37000 disp_close=2357.48000,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-05T05:00:00,2868,,Sweep @ 2361.06000 idx=2868,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-05T09:15:00,2885,,Sweep @ 2366.09000 idx=2885,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-05T12:45:00,2899,,Sweep @ 2362.07000 idx=2899,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-05T17:00:00,2916,,Sweep @ 2383.61000 idx=2916,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-05T20:30:00,2930,,Sweep @ 2389.91000 idx=2930,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-08T01:00:00,2944,,Sweep @ 2390.19000 idx=2944,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-08T01:45:00,2947,,Sweep @ 2384.95000 idx=2947,STATE_TRANSITION
RANGE_to_SWEEP,2024-07-08T07:30:00,2970,,Sweep @ 2383.27000 idx=2970,STATE_TRANSITION
