path,loc_approx,class_count,function_count,async_function_count,import_count,internal_import_count,entry_point_markers,config_reads,file_io_hits,subprocess_usage,network_usage,top_level_execution,test_reference_count,parse_status,syntax_error
scripts/governance/update_registry.py,52,0,1,0,6,0,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/governance/who_numeric_dependency_census.py,1202,0,17,0,12,2,"[""__main__"", ""function:main""]",1,0,0,0,True,1,OK,
scripts/groq_bridge/apply_llm_suggestions.py,133,0,6,0,7,0,"[""__main__"", ""function:main""]",0,0,3,0,False,0,OK,
scripts/groq_bridge/ingest_response.py,429,0,12,0,9,0,"[""__main__"", ""function:main""]",0,5,2,0,False,0,OK,
scripts/groq_bridge/prepare_retrospective.py,676,0,19,0,11,0,"[""__main__"", ""function:main""]",0,6,0,0,False,0,OK,
scripts/maintenance/_compute_hash.py,12,0,0,0,2,0,[],0,0,0,0,True,0,OK,
scripts/maintenance/_promote_v4_bnb_cutover.py,104,0,2,0,10,1,"[""__main__"", ""function:main""]",5,3,0,0,True,0,OK,
scripts/maintenance/check_consolidation_due.py,85,1,5,0,6,0,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/maintenance/check_governance_invariants.py,91,0,5,0,4,0,"[""__main__"", ""function:main""]",0,0,2,0,False,1,OK,
scripts/maintenance/check_session_log_commit.py,101,0,10,0,6,0,"[""__main__"", ""function:main""]",0,0,2,0,False,1,OK,
scripts/maintenance/cleanup_logs.py,73,0,3,0,5,0,"[""__main__"", ""function:main"", ""function:run""]",0,0,0,0,True,0,OK,
scripts/maintenance/fix_bom.py,16,0,0,0,2,0,[],0,2,0,0,True,0,OK,
scripts/maintenance/reorganize_results.py,73,0,3,0,4,0,"[""__main__"", ""function:main"", ""function:run""]",0,0,0,0,False,0,OK,
scripts/maintenance/rotate_session_log.py,131,0,7,0,5,0,"[""__main__"", ""function:main""]",0,0,0,0,True,2,OK,
scripts/metrics/extract_metrics.py,107,0,4,0,7,1,"[""__main__"", ""function:main""]",0,0,0,0,False,1,OK,
scripts/misc/bitnet_ternary_inference.py,31,0,5,0,6,1,"[""__main__"", ""function:main""]",0,3,0,0,True,0,OK,
scripts/misc/build_zone_registry_from_trades.py,71,0,4,0,5,0,"[""__main__"", ""function:main""]",0,1,0,0,False,0,OK,
scripts/misc/resample_m1_to_m15.py,39,0,0,0,4,0,[],0,2,0,0,True,0,OK,
scripts/misc/run_parity.py,85,0,2,0,6,0,"[""__main__"", ""function:main""]",0,0,1,0,False,0,OK,
scripts/misc/trade_replay_validator.py,340,1,7,0,6,1,[],0,1,0,0,True,0,OK,
scripts/research/accepted_trade_attribution.py,198,0,4,0,10,0,"[""__main__"", ""function:run""]",0,2,0,0,True,0,OK,
scripts/research/bnbusdt_analyze_report.py,359,0,7,0,6,0,[],0,2,0,0,True,0,OK,
scripts/research/bnbusdt_conditional_edge.py,156,0,10,0,7,0,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/research/bnbusdt_enrich_trades.py,183,0,0,0,7,0,[],0,5,0,0,True,0,OK,
scripts/research/bnbusdt_forensics.py,70,0,2,0,10,0,"[""__main__"", ""function:main""]",1,1,0,0,True,0,OK,
scripts/research/build_resampled_data.py,54,0,2,0,7,1,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/research/candle_state_report.py,133,0,2,0,7,0,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/research/diagnose_zone_inertness.py,298,1,12,0,16,0,"[""__main__"", ""function:main""]",1,1,0,0,True,0,OK,
scripts/research/discover_zones.py,275,0,6,0,10,2,"[""__main__"", ""function:main""]",0,2,0,0,True,1,OK,
scripts/research/edge_attribution_study.py,412,0,12,0,13,1,"[""__main__"", ""function:main""]",0,2,0,0,True,0,OK,
scripts/research/execution_planner_replay.py,251,0,9,0,12,3,"[""__main__"", ""function:main""]",1,2,0,0,True,1,OK,
scripts/research/feature_region_oos_study.py,172,0,6,0,13,1,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/research/gaussian_rr_scatter.py,210,0,4,0,10,3,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/research/ingest_live_outcomes.py,163,0,5,0,7,0,"[""__main__"", ""function:main""]",0,4,0,0,False,0,OK,
scripts/research/inspect_old_runs.py,26,0,0,0,3,0,[],0,2,0,0,True,0,OK,
scripts/research/live_path_replay.py,639,0,28,0,18,7,"[""__main__"", ""function:main""]",4,1,0,0,True,0,OK,
scripts/research/m5_mtf_information.py,243,0,8,0,15,1,"[""__main__"", ""function:main""]",0,0,1,0,True,0,OK,
scripts/research/momentum_continuation_bnbusdt.py,782,0,23,0,12,0,"[""__main__"", ""function:main""]",0,3,0,0,False,0,OK,
scripts/research/opportunity_scanner.py,241,0,4,0,10,2,"[""__main__"", ""function:main""]",0,2,0,0,True,0,OK,
scripts/research/phase0_economic_edge_diagnosis.py,401,1,13,0,14,1,"[""__main__"", ""function:main""]",0,2,0,0,True,0,OK,
scripts/research/phase6e_shadow_ab.py,81,0,2,0,7,3,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/research/phase_b_conditional_entropy.py,250,0,7,0,15,1,"[""__main__"", ""function:main""]",5,1,1,0,True,0,OK,
scripts/research/phase_d_exit_grid.py,219,0,11,0,20,1,"[""__main__"", ""function:main""]",19,1,1,0,True,0,OK,
scripts/research/phase_e_structural_asymmetry.py,231,0,10,0,13,0,"[""__main__"", ""function:main""]",12,1,1,0,True,0,OK,
scripts/research/phase_s_selection_effect.py,189,0,7,0,14,2,"[""__main__"", ""function:main""]",5,1,1,0,True,0,OK,
scripts/research/promotion_dryrun.py,110,0,4,0,11,4,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/research/qualify_carry.py,120,0,4,0,11,0,"[""__main__"", ""function:main""]",0,1,1,0,True,0,OK,
scripts/research/qualify_cross_sectional.py,115,0,4,0,11,0,"[""__main__"", ""function:main""]",0,1,1,0,True,0,OK,
scripts/research/qualify_fx_metals.py,193,0,6,0,19,0,"[""__main__"", ""function:main""]",1,0,1,0,True,0,OK,
scripts/research/qualify_harvest.py,125,0,5,0,11,0,"[""__main__"", ""function:main""]",0,1,1,0,True,1,OK,
scripts/research/qualify_htf.py,227,0,7,0,19,0,"[""__main__"", ""function:main""]",1,1,1,0,True,0,OK,
scripts/research/qualify_interpreter.py,187,0,6,0,18,1,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/research/qualify_m5_straddle.py,192,0,6,0,19,0,"[""__main__"", ""function:main""]",0,0,1,0,True,0,OK,
scripts/research/qualify_majors.py,193,0,6,0,19,0,"[""__main__"", ""function:main""]",1,0,1,0,True,0,OK,
scripts/research/qualify_regime_conditioning.py,196,0,8,0,21,1,"[""__main__"", ""function:main""]",1,0,1,0,True,0,OK,
scripts/research/qualify_regime_transition.py,224,1,9,0,21,1,"[""__main__"", ""function:main""]",1,1,1,0,True,0,OK,
scripts/research/qualify_transitions.py,156,0,5,0,19,0,"[""__main__"", ""function:main""]",0,0,1,0,True,0,OK,
