"File","LOC"
".\src\bitnet\zone_cosine_searcher.py","263"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\bitnet\search_engine.py","263"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\bitnet\zone_cosine_searcher.py","263"
".\.claude\worktrees\wizardly-neumann-923c0e\dataset_builder.py","258"
".\scripts\analysis\compress_logs_for_llm.py","257"
".\src\strategies\strategy_orchestrator.py","257"
".\archive\inout_legacy\ARCHIVED_2026_05_02\db.py","257"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\strategy_orchestrator.py","257"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\inout\db.py","257"
".\.claude\worktrees\wizardly-neumann-923c0e\model_registry.py","256"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\config_reachability.py","256"
".\scripts\analysis\consensus_sweep.py","255"
".\scripts\research\discover_zones.py","254"
".\.claude\worktrees\wizardly-neumann-923c0e\llama_gate.py","254"
".\.claude\worktrees\great-poitras-daca89\src\agent\groq_retrospective.py","254"
".\src\cognitive\cognitive_bus.py","250"
".\archive\inout_legacy\ARCHIVED_2026_05_02\scanner.py","249"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\inout\scanner.py","249"
".\archive\inout_legacy\ARCHIVED_2026_05_02\runner.py","248"
".\src\search\regime_weight_searcher.py","248"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\inout\runner.py","248"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\search\regime_weight_searcher.py","248"
".\src\core\ultron_risk_gate.py","247"
".\results\baseline\_p5_write.py","247"
".\src\config_layer\production_config.py","244"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\insight_reporter.py","243"
".\src\config_layer\insight_reporter.py","243"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\insight_reporter.py","243"
".\.claude\worktrees\wizardly-neumann-923c0e\insight_reporter.py","243"
".\src\regime\market_state_cluster_engine.py","241"
".\scripts\analysis\p3a_zone_attribution_diag.py","240"
".\scripts\analysis\feature_dag_layers.py","240"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\p3a_zone_attribution_diag.py","240"
".\src\research\measurement\forward_walk.py","239"
".\.claude\worktrees\wizardly-neumann-923c0e\rr_fusion.py","237"
".\scripts\governance\feature_dag_certify.py","236"
".\src\agent\findings_synthesizer.py","236"
".\src\research\process_diagnostics.py","236"
".\H-SECONDLOW-002_Complete_Package\scripts\research\xauusd_second_low_v1_controlled.py","236"
".\scripts\analysis\feature_math_decision_flip_probe.py","236"
".\scripts\analysis\gate2b_adjudication.py","236"
".\mt5_analytics\analytics\insight_report.py","233"
".\.claude\worktrees\wizardly-neumann-923c0e\train_pipeline.py","233"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\analytics\insight_report.py","233"
".\src\governance\strategy_backtest.py","231"
".\src\governance\expansion_integration.py","231"
".\src\governance\framework_registry.py","230"
".\src\utils\sweep_trace_logger.py","230"
".\scripts\research\phase_b_conditional_entropy.py","230"
".\src\engines\heuristic_gaussian_engine.py","230"
".\scripts\analysis\p3b_session_relax_diag.py","229"
".\scripts\training\train_bitnet.py","229"
".\scripts\analysis\build_feature_contract_v1_seed.py","229"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\p3b_session_relax_diag.py","229"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\governance\strategy_backtest.py","229"
".\scripts\analysis\pit_phaseC_feature_certification.py","227"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\control_plane\server.py","224"
".\.claude\worktrees\compassionate-poincare-90f891\test_crt_fixes.py","223"
".\src\core\hierarchical_meta_fusion.py","222"
".\scripts\context\build_context.py","222"
".\analyze_crt_pipeline.py","222"
".\src\control_plane\context_report.py","221"
".\src\config_layer\llm_inference_client.py","220"
".\scripts\research\m5_mtf_information.py","218"
".\src\control_plane\report_api.py","217"
".\scripts\research\phase_e_structural_asymmetry.py","217"
".\src\training\train_pipeline.py","217"
".\src\inout\hummingbot_candle_fetcher.py","217"
".\scripts\analysis\p2_disp_exemption_diag.py","217"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\control_plane\report_api.py","217"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\p2_disp_exemption_diag.py","217"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\training\train_pipeline.py","217"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\inout\hummingbot_candle_fetcher.py","217"
".\scripts\research\execution_planner_replay.py","215"
".\scripts\data\build_rr_dataset.py","215"
".\src\config_layer\rr\rr_dataset_builder.py","211"
".\src\inout\mt5_candle_fetcher.py","211"
".\src\research\zone_label_audit.py","211"
".\src\config_layer\llm_scorer.py","211"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\llm_scorer.py","211"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\rr\rr_dataset_builder.py","211"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\rr\rr_dataset_builder.py","211"
".\scripts\research\qualify_weekly_sweep.py","210"
".\scripts\research\opportunity_scanner.py","210"
".\src\research\process_characterization.py","209"
".\src\expansion\expansion_engine.py","208"
".\src\utils\episode_summarizer.py","208"
".\src\config_layer\state_contract_loader.py","208"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\training\train_pipeline.py","208"
".\scripts\analysis\build_pattern_library.py","208"
".\src\inout\perp_funding_fetcher.py","207"
".\scripts\research\phase_d_exit_grid.py","204"
".\src\live\mt5_bridge.py","203"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\live\mt5_bridge.py","203"
".\src\control_plane\dot_graph_context.py","202"
".\scripts\research\qualify_htf.py","202"
".\src\data_ingestion\xauusd_phase1_candidate.py","201"
".\scripts\research\gaussian_rr_scatter.py","201"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\runtime\unified_replay_harness.py","201"
".\scripts\research\qualify_regime_transition.py","200"
".\src\runtime\unified_replay_harness.py","199"
".\src\portfolio\correlation_engine.py","199"
".\src\inout\alphavantage_candle_fetcher.py","198"
".\scripts\research\rr_shadow_value.py","195"
".\src\features\feature_schema.py","195"
".\src\training\evaluator.py","195"
