decision,reason,score,regime,selected_engine,bitnet_score,bitnet_decision,candle_idx,confidence_bucket
BITNET_REJECT,,,,,-0.13678665459156036,,258,HIGH_REJECT
BITNET_REJECT,,,,,-0.9994459748268127,,259,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,260,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,261,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,262,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,263,HIGH_REJECT
BITNET_REJECT,,,,,0.0012906654737889767,,264,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,265,HIGH_REJECT
BITNET_REJECT,,,,,-0.20424619317054749,,266,HIGH_REJECT
BITNET_REJECT,,,,,-0.01518432330340147,,267,HIGH_REJECT
BITNET_REJECT,,,,,-0.0046648383140563965,,268,HIGH_REJECT
BITNET_REJECT,,,,,-0.2931298613548279,,269,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.9688066840171814,ACCEPT,270,
BITNET_REJECT,,,,,-0.03980044648051262,,271,HIGH_REJECT
BITNET_REJECT,,,,,-0.6828263998031616,,272,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.6688211560249329,ACCEPT,273,
BITNET_REJECT,,,,,0.0,,274,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.6397473812103271,ACCEPT,275,
BITNET_REJECT,,,,,0.0,,276,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,277,HIGH_REJECT
BITNET_REJECT,,,,,0.0,,278,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,279,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,280,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,281,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,282,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,283,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,284,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,285,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,286,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,287,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,288,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,289,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,290,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,291,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,292,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,293,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,294,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,295,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,296,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,297,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,298,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,299,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,300,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,301,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,302,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,303,
REJECT,data_integrity_failed,0.0,,,0.8453723192214966,ACCEPT,304,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,305,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,306,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,307,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,308,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,309,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,310,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,311,
BITNET_REJECT,,,,,-0.7436637282371521,,312,HIGH_REJECT
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,313,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,314,
REJECT,data_integrity_failed,0.0,,,0.9999805092811584,ACCEPT,315,
REJECT,data_integrity_failed,0.0,,,0.9999926090240479,ACCEPT,316,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,317,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,318,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,319,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,320,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,321,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,322,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,323,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,324,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,325,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,326,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,327,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,328,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,329,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,330,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,331,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,332,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,333,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,334,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,335,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,336,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,337,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,338,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,339,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,340,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,341,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,342,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,343,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,344,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,345,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,346,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,347,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,348,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,349,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,350,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,351,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,352,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,353,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,354,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,355,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,356,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,357,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,358,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,359,
REJECT,data_integrity_failed,0.0,,,0.9999406933784485,ACCEPT,360,
