date,total_opps,long,short,win_rate,avg_rr,tp_hits,sl_hits,timeouts,sweep_count,double_sweep,displacement_count,retest_avg_depth,avg_regime,avg_volatility_ratio,avg_trend_bias
2020-10-06,192,96,96,0.316,-0.039,60,130,2,26,8,46,0.3895,1.32,1.037,-0.5
2020-10-07,192,96,96,0.307,-0.029,51,115,26,16,8,38,0.3319,1.0,1.006,0.417
2020-10-08,192,96,96,0.363,0.103,69,121,2,26,18,32,0.3516,0.62,1.021,0.229
2020-10-09,136,68,68,0.276,-0.159,37,97,2,20,12,20,0.3567,0.88,1.026,1.0
2020-10-11,56,28,28,0.143,-0.571,8,48,0,6,6,4,0.3565,0.89,0.954,-0.643
2020-10-12,192,96,96,0.305,-0.056,57,130,5,10,0,36,0.5813,0.61,1.015,0.062
2020-10-13,192,96,96,0.239,-0.242,43,137,12,18,10,32,0.3495,0.72,1.026,-0.958
2020-10-14,192,96,96,0.301,-0.08,55,128,9,18,0,50,0.419,0.89,1.035,-0.062
2020-10-15,192,96,96,0.302,-0.035,55,127,10,14,0,38,0.2463,0.9,1.012,-0.208
2020-10-16,136,68,68,0.207,-0.248,24,92,20,20,10,30,0.5635,1.12,1.029,0.0
2020-10-18,56,28,28,0.393,0.179,22,34,0,8,4,8,0.475,0.04,0.957,-0.571
2020-10-19,192,96,96,0.344,0.031,66,126,0,20,16,36,0.4326,0.69,1.013,0.062
2020-10-20,192,96,96,0.297,-0.075,55,130,7,8,0,38,0.7221,0.97,1.045,0.75
2020-10-21,192,96,96,0.365,0.094,70,122,0,16,8,44,0.2817,0.99,0.998,0.188
2020-10-22,192,96,96,0.279,-0.151,53,137,2,14,8,38,0.3092,0.99,1.058,-0.729
2020-10-23,136,68,68,0.316,-0.051,43,93,0,10,4,38,0.6345,1.04,1.008,0.353
2020-10-25,64,32,32,0.219,-0.344,14,50,0,8,2,16,0.3849,0.75,0.964,-0.688
2020-10-26,192,96,96,0.262,-0.178,48,135,9,16,10,32,0.4469,0.68,1.014,-0.521
2020-10-27,192,96,96,0.297,-0.109,57,135,0,12,0,44,0.4136,0.91,1.031,-0.208
2020-10-28,192,96,96,0.305,-0.066,53,121,18,24,6,48,0.3737,1.15,1.048,-0.062
2020-10-29,192,96,96,0.333,0.023,62,124,6,20,2,22,0.5635,1.07,1.013,-0.333
2020-10-30,128,64,64,0.348,0.128,39,73,16,6,0,18,0.168,1.58,1.039,-0.469
2020-11-01,56,28,28,0.286,-0.143,16,40,0,10,6,10,0.4361,0.29,0.916,-1.0
2020-11-02,192,96,96,0.335,0.004,64,127,1,26,2,32,0.4699,0.65,1.014,0.062
2020-11-03,192,96,96,0.385,0.156,74,118,0,10,0,54,0.2728,1.31,1.151,0.438
2020-11-04,192,96,96,0.292,-0.05,52,126,14,16,6,40,0.3671,1.69,0.915,0.646
2020-11-05,192,96,96,0.318,-0.047,61,131,0,14,6,34,0.3829,1.86,1.026,0.562
2020-11-06,136,68,68,0.246,-0.2,30,92,14,16,14,20,0.3803,1.65,1.017,0.853
2020-11-08,56,28,28,0.143,-0.571,8,48,0,6,0,2,0.1724,0.86,0.788,1.0
2020-11-09,192,96,96,0.29,-0.06,51,125,16,14,0,46,0.3467,1.68,1.051,-0.354
